Posição 1, memória, tempo      -> Hashtable: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.20420217514038086), Pilha: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.20509910583496094), Fila: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.20408034324645996)
Posição 100, memória, tempo    -> Hashtable: ('02a1687245e9401d9ec1d969241f5256.txt', 0.0, 0.20389437675476074), Pilha: ('02a1687245e9401d9ec1d969241f5256.txt', 0.0, 0.20525884628295898), Fila: ('02a1687245e9401d9ec1d969241f5256.txt', 0.0, 0.20420432090759277)
Posição 1000, memória, tempo   -> Hashtable: ('1a942678a4ba4b289008dd8ae66c8bc0.txt', 0.0, 0.20597529411315918), Pilha: ('1a942678a4ba4b289008dd8ae66c8bc0.txt', 0.0, 0.2023313045501709), Fila: ('1a942678a4ba4b289008dd8ae66c8bc0.txt', 0.0, 0.20554804801940918)
Posição 5000, memória, tempo   -> Hashtable: ('8063de9f71a34f0bbbcd5cceaa82a0a9.txt', 0.0, 0.20674443244934082), Pilha: ('8063de9f71a34f0bbbcd5cceaa82a0a9.txt', 0.0, 0.20375418663024902), Fila: ('8063de9f71a34f0bbbcd5cceaa82a0a9.txt', 0.0, 0.21095800399780273)
Última Posição, memória, tempo -> Hashtable: ('fffebfa00c6a44aaa6487770bc58cd91.txt', 0.0, 0.20094656944274902), Pilha: ('fffebfa00c6a44aaa6487770bc58cd91.txt', 0.0, 0.20232510566711426), Fila: ('fffebfa00c6a44aaa6487770bc58cd91.txt', 0.0, 0.2126789093017578)
Posição 1, memória, tempo      -> Hashtable: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.2027602195739746), Pilha: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.20254731178283691), Fila: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.20565462112426758)
Posição 100, memória, tempo    -> Hashtable: ('02a1687245e9401d9ec1d969241f5256.txt', 0.0, 0.20557522773742676), Pilha: ('02a1687245e9401d9ec1d969241f5256.txt', 0.0, 0.20180225372314453), Fila: ('02a1687245e9401d9ec1d969241f5256.txt', 0.0, 0.20326662063598633)
Posição 1000, memória, tempo   -> Hashtable: ('1a942678a4ba4b289008dd8ae66c8bc0.txt', 0.0, 0.2042689323425293), Pilha: ('1a942678a4ba4b289008dd8ae66c8bc0.txt', 0.0, 0.20238804817199707), Fila: ('1a942678a4ba4b289008dd8ae66c8bc0.txt', 0.0, 0.20605707168579102)
Posição 5000, memória, tempo   -> Hashtable: ('8063de9f71a34f0bbbcd5cceaa82a0a9.txt', 0.0, 0.20490241050720215), Pilha: ('8063de9f71a34f0bbbcd5cceaa82a0a9.txt', 0.0, 0.20320963859558105), Fila: ('8063de9f71a34f0bbbcd5cceaa82a0a9.txt', 0.0, 0.20854759216308594)
Última Posição, memória, tempo -> Hashtable: ('fffebfa00c6a44aaa6487770bc58cd91.txt', 0.0, 0.20370125770568848), Pilha: ('fffebfa00c6a44aaa6487770bc58cd91.txt', 0.0, 0.2037358283996582), Fila: ('fffebfa00c6a44aaa6487770bc58cd91.txt', 0.0, 0.21087026596069336)
Posição 1, memória, tempo      -> Hashtable: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.20116662979125977), Pilha: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.2008814811706543), Fila: ('00044b99f9754854be3134834c8b04e3.txt', 0.0, 0.20070981979370117)
